row_id,upc,prefix8,brand_filled,product_line,product_descr,imputed_num_cartridges,imputed_mL_per_cartridge,imputed_total_mL,imputed_nic_mg_per_ml,total_units,candidate_row_id,candidate_upc,candidate_brand,candidate_product_line,candidate_product_descr,candidate_assessment,candidate_confidence,candidate_verified_device_type,candidate_verified_mL_per_cartridge,candidate_verified_num_cartridges,candidate_verified_total_mL,candidate_verified_nic_pct,candidate_verified_nic_mg_per_ml,product_similarity_score,upc_distance,action,candidate_source_url,candidate_notes
112,081990502791,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,24022,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,4,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
116,085570400861,08557040,MISTIC,MISTIC ECGT RFL,MISTIC ECGT RFL,1,10,10,24,22502,48,085570400720,MISTIC,MISTIC E-CGC RFL,MISTIC E-CGC RFL,PARTIAL,Medium,Closed pod,,3,,1.8,18,0.704,141,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.globenewswire.com/news-release/2016/08/04/861701/0/en/Mistic-E-Cigs-Adds-New-Flavors-to-Mistic-and-HAUS-Brands.html,"Mistic release says cartridges are sold in 3-, 5-, and 10-pack refills and contain 1.8% nicotine by volume. Exact mL per cartridge not found."
117,085570400702,08557040,MISTIC,MISTIC E-CG MN,MISTIC E-CG MN,1,5,5,18,22289,125,085570400542,MISTIC,MISTIC 2.0 E-CG MN,MISTIC 2.0 E-CG MN,PARTIAL,High,Closed pod,10,1,10,0.4,4,0.794,160,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.globenewswire.com/news-release/2016/07/26/858889/0/en/Mistic-E-Cigs-Introduces-Next-Big-Thing-in-Vaping-Sub-Ohm-POD-MOD.html;https://geardiary.com/2017/04/08/mistic2-0-pod-mod-pre-filled-vape/,Mistic 2.0 sources verify prefilled 10 mL pods with 4 mg/mL nicotine; kit initially included two 10 mL pods but replacement/product rows here are treated as one pod/device when row is 1 count.
118,081649401348,08164940,NICOTEK,N-M-C E-CG,N-M-C E-CG,1,10,9.995843,24,21896,236,081649401299,NICOTEK,NCTK MTR MNGT E-CG,NCTK MTR MNGT E-CG,PARTIAL,Low,Disposable,,,,,,0.493,49,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.prnewswire.com/news-releases/metro-seven---the-next-big-leap-in-disposable-electronic-cigarettes-146951905.html,PRNewswire source verifies Metro Seven/Nicotek one-time-use disposable product family and up to 300 puffs. mL/nicotine not verified.
119,081068701692,08106870,NJOY,NJOY E-CGCM POMEGRANATE RFL,NJOY E-CGCM POMEGRANATE RFL,2,1,2,30,21812,336,081068701413,NJOY,NJOY ONE JOY E-CG MN,NJOY ONE JOY E-CG MN,PARTIAL,Low,Disposable,,,,4.5,45,0.401,279,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
121,081068701542,08106870,NJOY,NJOY E-CG MN KING,NJOY E-CG MN KING,5,1,5,37.5,20990,336,081068701413,NJOY,NJOY ONE JOY E-CG MN,NJOY ONE JOY E-CG MN,PARTIAL,Low,Disposable,,,,4.5,45,0.655,129,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
131,081990502556,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,18934,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,231,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
142,081002599277,08100259,IGNITE,IGNITE,IGNITE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BANANA ICE BOX 1 COUNT,1,1.2,1.2,25,17064,248,081002599614,IGNITE,IGNITE V15,IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BANANA ICE BOX 1 COUNT,PARTIAL,High,Disposable,5.1,1,5.1,5,50,0.919,337,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://mx.ignite.co/products/v15-vape-desechable-tobacco,Official IGNITE V15 source verifies disposable device with 5.1 mL capacity and 5% nicotine.
150,081068701787,08106870,NJOY,NJOY E-CG LIQUID BLD-ORNGE,NJOY E-CG LIQUID BLD-ORNGE,1,10,10,8,15758,336,081068701413,NJOY,NJOY ONE JOY E-CG MN,NJOY ONE JOY E-CG MN,PARTIAL,Low,Disposable,,,,4.5,45,0.465,374,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
153,081990502559,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,15592,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,228,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
155,081068701811,08106870,NJOY,NJOY E-CG LIQUID PEACH TEA,NJOY E-CG LIQUID PEACH TEA,1,5.53,5.527495,11.8,15100,311,081068701410,NJOY,NJOY ONE JOY E-CG,NJOY ONE JOY E-CG,PARTIAL,Low,Disposable,,,,4.5,45,0.436,401,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
157,081068701791,08106870,NJOY,NJOY E-CG LIQUID VNLA-BN,NJOY E-CG LIQUID VNLA-BN,1,10,10,10,14940,311,081068701410,NJOY,NJOY ONE JOY E-CG,NJOY ONE JOY E-CG,PARTIAL,Low,Disposable,,,,4.5,45,0.45,381,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
163,081990502567,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,14213,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,220,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
172,081002599278,08100259,IGNITE,IGNITE,IGNITE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SOUR APPLE ICE BOX 1 COUNT,1,1.2,1.2,25,13438,248,081002599614,IGNITE,IGNITE V15,IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BANANA ICE BOX 1 COUNT,PARTIAL,High,Disposable,5.1,1,5.1,5,50,0.757,336,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://mx.ignite.co/products/v15-vape-desechable-tobacco,Official IGNITE V15 source verifies disposable device with 5.1 mL capacity and 5% nicotine.
175,081990502557,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,12848,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,230,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
177,081068701795,08106870,NJOY,NJOY E-CG LIQUID DBL-ESPRSO,NJOY E-CG LIQUID DBL-ESPRSO,1,10,10,10,12688,311,081068701410,NJOY,NJOY ONE JOY E-CG,NJOY ONE JOY E-CG,PARTIAL,Low,Disposable,,,,4.5,45,0.417,385,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
183,081990502568,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,11659,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,219,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
185,081068701585,08106870,NJOY,NJOY E-CG KING 1CT=,NJOY E-CG KING 1CT=,2,2.5,5,45,11506,311,081068701410,NJOY,NJOY ONE JOY E-CG,NJOY ONE JOY E-CG,PARTIAL,Low,Disposable,,,,4.5,45,0.521,175,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
190,081505802213,08150580,LOGIC,LOGIC LQD ECTA,LOGIC LQD ECTA,3,1,3,18,10907,295,081505802030,LOGIC,LOGIC E-CGC TOB,LOGIC E-CGC TOB,PARTIAL,Low,Closed pod,,5,,2.4,24,0.447,183,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.themagicmist.com/Logic-ecig-Compatible-Cartridges-p/logic-compatible-cartridges.htm,Only partially verified from compatible-cartridge source: compatible pack has 5 carts and Platinum 2.4% maps to 24 mg/mL. Original mL not verified.
193,009710000229,00971000,MARKTEN,ELCT VAPOR CGRTT CARTRIDGE,ELCT VAPOR CGRTT CARTRIDGE,2,1.8,3.6,50,10513,618,009710000234,MARKTEN,MARKTEN EVCC,MARKTEN EVCC,PARTIAL,Medium,Closed pod,,2,,,,0.185,5,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.gopuff.com/p/markten-elite-hazelnut-cream-e-vapor-pods-2ct/p9395,Retail source verifies MarkTen Elite e-vapor pods as 2ct. mL and nicotine not verified in the source found.
195,081068701587,08106870,NJOY,NJOY E-CG MN KING 1CT=,NJOY E-CG MN KING 1CT=,2,2.5,5,45,10357,336,081068701413,NJOY,NJOY ONE JOY E-CG MN,NJOY ONE JOY E-CG MN,PARTIAL,Low,Disposable,,,,4.5,45,0.586,174,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
196,088796901157,08879690,BLU,BLU,BLU SMOKING ALTERNATIVE PRODUCT 1 COUNT,2,1.5,3,24.8,10353,433,088796900501,BLU,BLU,BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MENTHOL CARTOON 1 COUNT,PARTIAL,Medium,Disposable,1,1,1,2.4,24,0.62,656,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://support-us.blu.com/hc/en-us/articles/360011600480-Why-am-I-limited-on-how-much-product-I-can-purchase-every-30-days;https://support-us.blu.com/hc/en-us/articles/360011705519-What-are-the-nicotine-levels-and-ingredients-in-the-disposables,"Matched to blu disposable/one-count e-cigarette family. Official support says blu disposables are approx. 1 mL, one device per pack, and available in 2.4% and 4.5% strengths; 2.4% used where row estimate/product family indicates 24 mg/mL."
198,085570400838,08557040,MISTIC,MISTIC E-CGC RFL,MISTIC E-CGC RFL,1,10,10,24,10186,48,085570400720,MISTIC,MISTIC E-CGC RFL,MISTIC E-CGC RFL,PARTIAL,Medium,Closed pod,,3,,1.8,18,1.0,118,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.globenewswire.com/news-release/2016/08/04/861701/0/en/Mistic-E-Cigs-Adds-New-Flavors-to-Mistic-and-HAUS-Brands.html,"Mistic release says cartridges are sold in 3-, 5-, and 10-pack refills and contain 1.8% nicotine by volume. Exact mL per cartridge not found."
206,081068701586,08106870,NJOY,NJOY E-CG KING 1CT=,NJOY E-CG KING 1CT=,2,2.5,5,45,9368,311,081068701410,NJOY,NJOY ONE JOY E-CG,NJOY ONE JOY E-CG,PARTIAL,Low,Disposable,,,,4.5,45,0.521,176,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
214,088796900577,08879690,BLU,ELCT CGRTT,ELCT CGRTT,1,5,5,19.2,8507,259,088796900873,BLU,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,High,Closed pod,1.5,2,3,,,0.594,296,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://support-us.blu.com/hc/en-us/articles/360011600480-Why-am-I-limited-on-how-much-product-I-can-purchase-every-30-days,Official blu support says myblu liquidpods are approx. 1.5 mL per pod and two liquidpods are included in each pack. Nicotine strength not verified from row text.
233,009710000114,00971000,MARKTEN,MARKTEN E-CG/ECC,MARKTEN E-CG/ECC,1,1.6,1.6,35,6904,618,009710000234,MARKTEN,MARKTEN EVCC,MARKTEN EVCC,PARTIAL,Medium,Closed pod,,2,,,,0.556,120,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.gopuff.com/p/markten-elite-hazelnut-cream-e-vapor-pods-2ct/p9395,Retail source verifies MarkTen Elite e-vapor pods as 2ct. mL and nicotine not verified in the source found.
238,081649401297,08164940,NICOTEK,NTK MR CK SK E-CG,NTK MR CK SK E-CG,1,10,9.995843,24,6322,218,081649401155,NICOTEK,NCTK MTR SVN E-CG MN,NCTK MTR SVN E-CG MN,PARTIAL,Low,Disposable,,,,,,0.506,142,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.prnewswire.com/news-releases/metro-seven---the-next-big-leap-in-disposable-electronic-cigarettes-146951905.html,PRNewswire source verifies Metro Seven/Nicotek one-time-use disposable product family and up to 300 puffs. mL/nicotine not verified.
240,081649401298,08164940,NICOTEK,NTK MR CK SK E-CG MN,NTK MR CK SK E-CG MN,1,10,9.995843,24,6149,218,081649401155,NICOTEK,NCTK MTR SVN E-CG MN,NCTK MTR SVN E-CG MN,PARTIAL,Low,Disposable,,,,,,0.603,143,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.prnewswire.com/news-releases/metro-seven---the-next-big-leap-in-disposable-electronic-cigarettes-146951905.html,PRNewswire source verifies Metro Seven/Nicotek one-time-use disposable product family and up to 300 puffs. mL/nicotine not verified.
243,081649401295,08164940,NICOTEK,N-M-C E-CG,N-M-C E-CG,1,10,9.995843,24,6004,236,081649401299,NICOTEK,NCTK MTR MNGT E-CG,NCTK MTR MNGT E-CG,PARTIAL,Low,Disposable,,,,,,0.493,4,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.prnewswire.com/news-releases/metro-seven---the-next-big-leap-in-disposable-electronic-cigarettes-146951905.html,PRNewswire source verifies Metro Seven/Nicotek one-time-use disposable product family and up to 300 puffs. mL/nicotine not verified.
244,085570400418,08557040,MISTIC,MISTIC E-CG,MISTIC E-CG,1,1,1,18,5937,137,085570400541,MISTIC,MISTIC 2.0 E-CG,MISTIC 2.0 E-CG,PARTIAL,High,Closed pod,10,1,10,0.4,4,0.751,123,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.globenewswire.com/news-release/2016/07/26/858889/0/en/Mistic-E-Cigs-Introduces-Next-Big-Thing-in-Vaping-Sub-Ohm-POD-MOD.html;https://geardiary.com/2017/04/08/mistic2-0-pod-mod-pre-filled-vape/,Mistic 2.0 sources verify prefilled 10 mL pods with 4 mg/mL nicotine; kit initially included two 10 mL pods but replacement/product rows here are treated as one pod/device when row is 1 count.
245,081649401296,08164940,NICOTEK,N-M-C E-CG MN,N-M-C E-CG MN,1,10,9.995843,24,5820,218,081649401155,NICOTEK,NCTK MTR SVN E-CG MN,NCTK MTR SVN E-CG MN,PARTIAL,Low,Disposable,,,,,,0.575,141,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.prnewswire.com/news-releases/metro-seven---the-next-big-leap-in-disposable-electronic-cigarettes-146951905.html,PRNewswire source verifies Metro Seven/Nicotek one-time-use disposable product family and up to 300 puffs. mL/nicotine not verified.
251,085570400488,08557040,MISTIC,MISTIC E-CGC RFL,MISTIC E-CGC RFL,1,7.5,7.5,20,5486,52,085570400719,MISTIC,MISTIC E-CGC RFL,MISTIC E-CGC RFL,PARTIAL,Medium,Closed pod,,3,,1.8,18,1.0,231,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.globenewswire.com/news-release/2016/08/04/861701/0/en/Mistic-E-Cigs-Adds-New-Flavors-to-Mistic-and-HAUS-Brands.html,"Mistic release says cartridges are sold in 3-, 5-, and 10-pack refills and contain 1.8% nicotine by volume. Exact mL per cartridge not found."
255,009710000107,00971000,MARKTEN,MARKTEN E-CGC,MARKTEN E-CGC,4,0.4,1.6,35,5190,618,009710000234,MARKTEN,MARKTEN EVCC,MARKTEN EVCC,PARTIAL,Medium,Closed pod,,2,,,,0.631,127,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.gopuff.com/p/markten-elite-hazelnut-cream-e-vapor-pods-2ct/p9395,Retail source verifies MarkTen Elite e-vapor pods as 2ct. mL and nicotine not verified in the source found.
271,085570400420,08557040,MISTIC,MISTIC E-CG MN,MISTIC E-CG MN,1,7.5,7.5,20,4430,125,085570400542,MISTIC,MISTIC 2.0 E-CG MN,MISTIC 2.0 E-CG MN,PARTIAL,High,Closed pod,10,1,10,0.4,4,0.794,122,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.globenewswire.com/news-release/2016/07/26/858889/0/en/Mistic-E-Cigs-Introduces-Next-Big-Thing-in-Vaping-Sub-Ohm-POD-MOD.html;https://geardiary.com/2017/04/08/mistic2-0-pod-mod-pre-filled-vape/,Mistic 2.0 sources verify prefilled 10 mL pods with 4 mg/mL nicotine; kit initially included two 10 mL pods but replacement/product rows here are treated as one pod/device when row is 1 count.
272,081068701288,08106870,NJOY,NJOY E-CG NO,NJOY E-CG NO,1,5,5,18,4348,294,081068701408,NJOY,NJOY ONE JOY E-CG,NJOY ONE JOY E-CG,PARTIAL,Low,Disposable,,,,4.5,45,0.64,120,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
275,009710000116,00971000,MARKTEN,MARKTEN E-CG MN/ECC,MARKTEN E-CG MN/ECC,1,1.6,1.6,35,4029,618,009710000234,MARKTEN,MARKTEN EVCC,MARKTEN EVCC,PARTIAL,Medium,Closed pod,,2,,,,0.498,118,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.gopuff.com/p/markten-elite-hazelnut-cream-e-vapor-pods-2ct/p9395,Retail source verifies MarkTen Elite e-vapor pods as 2ct. mL and nicotine not verified in the source found.
