"upc","brand_filled","line","product_descr","num_cartridges_f","total_units"
"088886111000","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT","1",6496
"085607300316","JAK","JAK E-CG GRAPE","JAK E-CG GRAPE","1",6102
"085604000312","VICTORY","VICTORY E-CGC RFL","VICTORY E-CGC RFL","5",5857
"071275599739","XFIRE","XFIRE E-CG LIQUID POD MINT","XFIRE E-CG LIQUID POD MINT","4",5806
"088886111004","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BLUEBERRY BOX 1 COUNT","1",5555
"081085902018","ZOOM","ZOOM E-CG MN BOLD","ZOOM E-CG MN BOLD","3",5420
"081009691192","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY PEACH JUICE HEAD BOX 1 COUNT","1",5277
"085607300384","JAK","JAK E-CG PASSION","JAK E-CG PASSION","1",5108
"088886111002","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT","1",5083
"088886111003","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT","1",4979
"068808300402","WHISL","WHISL","WHISL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TO FOCUS ON THE TASK AT HAND BOX 2 COUNT","2",4978
"085607300314","JAK","JAK E-CG CHERRY","JAK E-CG CHERRY","1",4714
"081009691190","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON STRAWBERRY MESH COIL BOX 1 COUNT","1",4511
"081009691194","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO FRESH MINT JUICE HEAD BOX 1 COUNT","1",4451
"088886111005","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MANGO ICE BOX 1 COUNT","1",4448
"088886111006","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT","1",4432
"085539000300","FLAVOR VAPES","FLAVOR VAPES E-CG TOB","FLAVOR VAPES E-CG TOB","1",4403
"088886111007","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT","1",4368
"085607300324","JAK","JAK E-CG PINEAPPLE","JAK E-CG PINEAPPLE","4",4336
"085607300385","JAK","JAK E-CG BLACKBERRY","JAK E-CG BLACKBERRY","1",4233
"085607300383","JAK","JAK E-CG BERRY","JAK E-CG BERRY","1",3821
"085452700314","VIENTI","VIENTI E-CG VOF","VIENTI E-CG VOF","1",3789
"081009691189","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON LIME JUICE HEAD BOX 1 COUNT","1",3731
"002145801000","CLEAN CIG","CLEAN CIG E-CGA REGULAR","CLEAN CIG E-CGA REGULAR","5",3567
"088886111001","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT","1",3396
"085452700315","VIENTI","VIENTI E-CG MN VOF","VIENTI E-CG MN VOF","1",2951
"001396427296","SMART SMOKE","SMART SMOKE E-CG RFL","SMART SMOKE E-CG RFL","2",2568
"081190403395","SOCIAL",NA,NA,"1",2099
"089961000241","CIGIREX","CIGIREX E-CG REGULAR VO","CIGIREX E-CG REGULAR VO","1",1999
"002145805007","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR","5",1729
"085143800734","JAK",NA,"JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MENTHOL 800 PUFFS TUBE 1 COUNT","1",1624
"085005158211","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY WATERMELON BOX 1 COUNT","1",1598
"081009691187","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RASPBERRY LEMONADE JUICE HEAD BOX 1 COUNT","1",1592
"002145801050","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR","5",1578
"001396427294","SMART SMOKE","SMART SMOKE E-CG MN","SMART SMOKE E-CG MN","10",1429
"002145801025","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR","5",1373
"081102002396","IMPERIAL",NA,NA,NA,1352
"081102002403","IMPERIAL",NA,NA,NA,1319
"081102002395","IMPERIAL",NA,NA,NA,1308
"081102002394","IMPERIAL",NA,NA,NA,1290
"085682400211","ECO-CIGS","ECO-CIGS E-CG TF","ECO-CIGS E-CG TF","1",1285
"085005158206","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RASPBERRY LEMONADE BOX 1 COUNT","1",1243
"085682400216","ECO-CIGS","ECO-CIGS E-CGCM TF","ECO-CIGS E-CGCM TF","3",1243
"081102002393","IMPERIAL",NA,NA,NA,1231
"068808300400","WHISL","WHISL","WHISL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TO FOCUS ON THE TASK AT HAND BOX 2 COUNT","2",1196
"084851100000","INTELLICIG","INTELLICIG E-CG","INTELLICIG E-CG","1",1160
"081102002401","IMPERIAL",NA,NA,NA,1157
"081102002402","IMPERIAL",NA,NA,NA,1101
"085609000300","ISMOK","ISMOK E-CG CT","ISMOK E-CG CT","1",1045
"085682400215","ECO-CIGS","ECO-CIGS E-CG MN","ECO-CIGS E-CG MN","3",1033
"089961000242","CIGIREX","CIGIREX E-CG MN OLS","CIGIREX E-CG MN OLS","1",1003
"085005158208","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH BLUE RASPBERRY BOX 1 COUNT","1",991
"001396427293","SMART SMOKE","SMART SMOKE E-CG COFFEE","SMART SMOKE E-CG COFFEE","2",914
"085003554338","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RAZZLE ICE BOX 1 COUNT","1",825
"085005158209","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY LIME CRANBERRY BOX 1 COUNT","1",819
"085005158207","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MIXED BERRIES BOX 1 COUNT","1",812
"085003554343","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO JUICY MANGO MELON ICE BOX 1 COUNT","1",725
"085003554344","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO ALOE GRAPPLE WATERMELON BOX 1 COUNT","1",637
"085005158210","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SUPER SOUR BOX 1 COUNT","1",631
"085609000332","ISMOK","ISMOK E-CG CT RFL/ECC=","ISMOK E-CG CT RFL/ECC=","5",619
"061737594344","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN ORIGINAL RED 1000 PUFFS BOX 1 COUNT","1",608
"085609000315","ISMOK","ISMOK E-CGC CT","ISMOK E-CGC CT","3",608
"061772451137","SQUARE","SQ-DR E-CG LIQUID LOVE ME","SQ-DR E-CG LIQUID LOVE ME","1",601
"061772451152","SQUARE","SQ-DR E-CG LIQUID NBG","SQ-DR E-CG LIQUID NBG","1",574
"061772451170","SQUARE","SQ-DR E-CG LIQUID OST","SQ-DR E-CG LIQUID OST","1",569
"089961000209","CIGIREX","CIGIREX E-CG","CIGIREX E-CG","2",540
"089961000214","CIGIREX","CIGIREX E-CGC MN RFL","CIGIREX E-CGC MN RFL","5",531
"089961000212","CIGIREX","CIGIREX E-CGC REGULAR RFL","CIGIREX E-CGC REGULAR RFL","5",522
"002145800003","CLEAN CIG","CLEAN CIG E-CG REGULAR","CLEAN CIG E-CG REGULAR","1",485
"085609000317","ISMOK","ISMOK E-CGC MN/BT/ECC","ISMOK E-CGC MN/BT/ECC","2",481
"061772451156","SQUARE","SQ-DR E-CG LIQUID RYDGR","SQ-DR E-CG LIQUID RYDGR","1",479
"061772451131","SQUARE","SQ-DR E-CG LIQUID CMYK","SQ-DR E-CG LIQUID CMYK","1",469
"061772491336","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN MINTY MENTHOL 1000 PUFFS BOX 1 COUNT","1",453
"085124700303","MODERN SMOKE","MD-SMK E-CGCM MN","MD-SMK E-CGCM MN","5",448
"089961000210","CIGIREX","CIGIREX E-CG","CIGIREX E-CG","2",438
"089961000211","CIGIREX","CIGIREX E-CG MN","CIGIREX E-CG MN","2",437
"085003554337","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO VANILLA CUSTARD BOX 1 COUNT","1",436
"061772451138","SQUARE","SQ-DR E-CG LIQUID MML","SQ-DR E-CG LIQUID MML","1",434
"089961000213","CIGIREX","CIGIREX E-CGC RFL","CIGIREX E-CGC RFL","5",400
"065436770663","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR","1",391
"085682400258","ECO-CIGS","ECO-CIGS E-CGCM TOB RFL","ECO-CIGS E-CGCM TOB RFL","3",367
"073621120294","SMOKERS 1 CHOICE","S1C E-CG MN N-FL MEDIUM","S1C E-CG MN N-FL MEDIUM","1",344
"002145802000","CLEAN CIG","CLN-CG E-CGA MN","CLN-CG E-CGA MN","5",331
"065436770664","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN","1",329
"073621120264","SMOKERS 1 CHOICE","S1C E-CG MEDIUM","S1C E-CG MEDIUM","1",311
"085830200521","NE WHERE","NE WHERE ECGVT RFL","NE WHERE ECGVT RFL","1",300
"085436100422","NE WHERE","NE WHERE EHOK ORANGE CREAM","NE WHERE EHOK ORANGE CREAM","1",287
"065436704331","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR","1",280
"085308600483","CRISS-CROSS","CRISS-CROSS E-CG REGULAR","CRISS-CROSS E-CG REGULAR","1",258
"081022002111","ISMOKE VAPER TECH","IVPT E-CGC OGN RFL","IVPT E-CGC OGN RFL","5",254
"085682400218","ECO-CIGS","ECO-CIGS E-CG TF","ECO-CIGS E-CG TF","1",254
"085609000333","ISMOK","ISMOK E-CG MN RFL/ECC=","ISMOK E-CG MN RFL/ECC=","5",246
"081323902441","SPACE JAM","SPC JM-KGT AST 3'S","SPC JM-KGT AST 3'S","3",241
"081323902462","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK","1",222
"081323902014","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO","1",209
"085436100425","NE WHERE",NA,"NE WHERE EHOK GRAPE GATSBY","1",205
"085436100490","NE WHERE","NE WHERE E-CG LIQUID BGM","NE WHERE E-CG LIQUID BGM","1",203
"693728100036","VAPCIGS","VAPCIGS E-CGC","VAPCIGS E-CGC","14",203
"081323902013","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO","1",199
"081323902463","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK","1",198
"081022002113","ISMOKE VAPER TECH","IVPT E-CGC MN RFL","IVPT E-CGC MN RFL","5",187
"081323902002","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA","1",187
"085143800755","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT","1",185
"085830200500","NE WHERE","NE WHERE E-CG LIQUID MN","NE WHERE E-CG LIQUID MN","1",179
"085436100458","NE WHERE","NE WHERE E-CG LIQUID SR APTN","NE WHERE E-CG LIQUID SR APTN","1",178
"085436100467","NE WHERE","NE WHERE E-CG LIQUID GGSB","NE WHERE E-CG LIQUID GGSB","1",177
"075166716631","EZ CIG","EZ CIG E-CG WB","EZ CIG E-CG WB","1",175
"085436100465","NE WHERE","NE WHERE E-CG LIQUID ISSQ","NE WHERE E-CG LIQUID ISSQ","1",170
"085830200503","NE WHERE","NE WHERE E-CG LIQUID PICO","NE WHERE E-CG LIQUID PICO","1",168
"085830200514","NE WHERE","NE WHERE E-CG LIQUID VANILLA","NE WHERE E-CG LIQUID VANILLA","1",164
"081323902001","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA","1",163
"085436100499","NE WHERE","NE WHERE E-CG LIQUID CHERRY","NE WHERE E-CG LIQUID CHERRY","1",162
"085436100496","NE WHERE","NE WHERE E-CG LIQUID BB","NE WHERE E-CG LIQUID BB","1",157
"075166716627","EZ CIG","EZ CIG E-CG WG","EZ CIG E-CG WG","1",155
"085830200509","NE WHERE","NE WHERE E-CG LIQUID TOB","NE WHERE E-CG LIQUID TOB","1",154
"085436100495","NE WHERE","NE WHERE E-CG LIQUID EGV","NE WHERE E-CG LIQUID EGV","1",153
"081323902062","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO","1",152
"065436704332","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR","1",150
"075166716619","EZ CIG","EZ CIG E-CG VANILLA","EZ CIG E-CG VANILLA","1",149
"085830200528","NE WHERE","NE WHERE E-CG LIQUID BAMA","NE WHERE E-CG LIQUID BAMA","1",146
"065436704335","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN","1",143
"081323902061","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO","1",143
"085308600485","CRISS-CROSS","CRISS-CROSS E-CG MN","CRISS-CROSS E-CG MN","1",141
"085830200506","NE WHERE","NE WHERE E-CG LIQUID P-L","NE WHERE E-CG LIQUID P-L","1",137
"085830200520","NE WHERE","NE WHERE E-CG LIQUID STMT","NE WHERE E-CG LIQUID STMT","1",136
"693728100022","NBL-NCL","NBL-NCL E-CG","NBL-NCL E-CG","5",133
"061645399354","SQUARE","SQUARE LVP P-SN XL","SQUARE LVP P-SN XL","1",131
"085003554362","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINK SQUARES BOX 1 COUNT","1",130
"061772451155","SQUARE","SQ-DR E-CG LIQUID PE-SRS","SQ-DR E-CG LIQUID PE-SRS","1",128
"085436100466","NE WHERE","NE WHERE E-CG LIQUID WM MINT","NE WHERE E-CG LIQUID WM MINT","1",127
"061645399352","SQUARE","SQUARE LVP MOMMA MIA XL","SQUARE LVP MOMMA MIA XL","1",125
"081009691191","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH PEAR JUICE HEAD BOX 1 COUNT","1",117
"061772451140","SQUARE","SQ-DR E-CG LIQUID MML","SQ-DR E-CG LIQUID MML","1",116
"085193300304","BLAZE","BLAZE E-CG OGN OLS","BLAZE E-CG OGN OLS","1",113
"061737594343","SQUARE","SQUARE LVP ROYAL DAGGER XL","SQUARE LVP ROYAL DAGGER XL","1",111
"075166716459","EZ CIG","EZ CIG E-CG BC","EZ CIG E-CG BC","1",110
"061645399353","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN MAGIC MELON 1000 PUFFS BOX 1 COUNT","1",106
"065436704336","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN","1",96
"084727700018","JASPER & JASPER","JJ-IMPLS E-CG TF","JJ-IMPLS E-CG TF","1",94
"081009691188","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LYCHEE MANGO MESH COIL BOX 1 COUNT","1",91
"085830200517","NE WHERE","NE WHERE E-CG LIQUID WM","NE WHERE E-CG LIQUID WM","1",88
"061772451143","SQUARE","SQ-DR E-CG LIQUID M-SLK","SQ-DR E-CG LIQUID M-SLK","1",82
"084872800344","J'ADORE FOR HER","JDR FH E-CG","JDR FH E-CG","1",81
"085143800756","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT","1",81
"081962001769","SOUTH BEACH SMOKE","STH-BS E-CG LIQUID MN","STH-BS E-CG LIQUID MN","1",77
"085371500500","BLAC LABEL","BLAC LABEL E-CG CT","BLAC LABEL E-CG CT","2",76
"085371500502","BLAC LABEL","BLAC LABEL E-CG MN","BLAC LABEL E-CG MN","2",73
"002145800004","CLEAN CIG","CLN-CG E-CGC MN/ECC","CLN-CG E-CGC MN/ECC","1",72
"065436770660","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR OL-V","CIGALECTRIC E-CGC REGULAR OL-V","1",70
"061645399351","SQUARE","SQUARE LVP MALIBU SILK XL","SQUARE LVP MALIBU SILK XL","1",68
"081076702014","MILLENNIUM","MLNM E-CG LIQUID PLUM","MLNM E-CG LIQUID PLUM","1",65
"081102002246","IMPERIAL",NA,NA,NA,65
"081962001942","SOUTH BEACH SMOKE","STH-BS E-CG LIQUID MN","STH-BS E-CG LIQUID MN","1",65
"085371500501","BLAC LABEL","BLAC LABEL E-CG BOLD TOB","BLAC LABEL E-CG BOLD TOB","2",55
"062784346466","EAGLEENERGY","EAGLE.ENERGY","EAGLE.ENERGY SMOKING ALTERNATIVE PRODUCT STICK CAFFEINE 1 COUNT","1",54
"081076702017","MILLENNIUM","MLNM E-CG LIQUID KIWI","MLNM E-CG LIQUID KIWI","1",53
"085641900305","PROGRESSIGS","PROGRESSIGS E-CG MN","PROGRESSIGS E-CG MN","1",53
"065436770661","CIGALECTRIC","CIGALECTRIC E-CGC MN OL-V","CIGALECTRIC E-CGC MN OL-V","1",49
"084005680159","NUX","NU-X NUTRA","NU-X NUTRA SMOKING ALTERNATIVE PRODUCT LIQUID ENERGY CAFFENINE 200 PLUS PUFFS BOX 1 COUNT","1",47
"084005680156","NUX","NU-X NUTRA","NU-X NUTRA SMOKING ALTERNATIVE PRODUCT LIQUID ENERGY CAFFENINE 200 PLUS PUFFS BOX 1 COUNT","1",45
"085641900308","PROGRESSIGS","PROGRESSIGS E-CG VANILLA","PROGRESSIGS E-CG VANILLA","1",43
"061772491345","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN OLD SCHOOL TABAC 1000 PUFFS BOX 1 COUNT","1",41
"084727700034","XPLORER","XPLORER E-CG TF","XPLORER E-CG TF","1",41
"081323902444","SPACE JAM","SPC JM-KGT ECCVPR","SPC JM-KGT ECCVPR","2",40
"085399000323","CLAYTON","CLAYTON E-CG","CLAYTON E-CG","1",37
"085641900302","PROGRESSIGS","PROGRESSIGS E-CG TOB","PROGRESSIGS E-CG TOB","1",36
"085641900300","PROGRESSIGS","PROGRESSIGS E-CG TOB","PROGRESSIGS E-CG TOB","1",35
"081076702018","MILLENNIUM","MLNM E-CG LIQUID CREAM","MLNM E-CG LIQUID CREAM","1",33
"085371500503","BLAC LABEL","BLAC LABEL E-CG LIGHT VANILLA","BLAC LABEL E-CG LIGHT VANILLA","2",32
"081076702029","MILLENNIUM","MLNM E-CG LIQUID SB CHSCK","MLNM E-CG LIQUID SB CHSCK","1",31
"085607300367","JAK","JAK E-CG MN","JAK E-CG MN","1",30
"085308600486","CRISS-CROSS","CRISS-CROSS E-CG MN","CRISS-CROSS E-CG MN","1",25
"079408027633","E-SMOKES","E-SMOKES E-CG MINT RFL","E-SMOKES E-CG MINT RFL","1",23
"081076702012","MILLENNIUM","MLNM E-CG LIQUID PINEAPPLE","MLNM E-CG LIQUID PINEAPPLE","1",23
"081342001429","KRAVE","KRAVE E-CG OGN","KRAVE E-CG OGN","1",21
"085143800757","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE WILD BERRY BOX 1 COUNT","1",21
"073621191069","SQUARE","SQ E-CG VO","SQ E-CG VO","1",19
"075166712763","EZ CIG","EZ CIG E-CG MN","EZ CIG E-CG MN","1",18
"081076702013","MILLENNIUM","MLNM E-CG LIQUID WM","MLNM E-CG LIQUID WM","1",18
"075166717399","VOODOO","VOODOO E-HOOKAH E-CG S-S","VOODOO E-HOOKAH E-CG S-S","1",17
"081342001430","KRAVE","KRAVE E-CG MN","KRAVE E-CG MN","1",17
"085371500504","BLAC LABEL","BLAC LABEL E-CG LIGHT TOB","BLAC LABEL E-CG LIGHT TOB","2",17
"085143800754","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE FRUIT BOX 1 COUNT","1",16
"085607300300","JAK","JAK E-CG REGULAR","JAK E-CG REGULAR","1",16
"075166704975","EZ CIG","EZ CIG E-CG TOB","EZ CIG E-CG TOB","1",15
"002145802050","CLEAN CIG","CLN-CG E-CGA MN","CLN-CG E-CGA MN","5",14
"073621122926","SQUARE","SQ82 E-CG OR","SQ82 E-CG OR","1",14
"081085902007","ZOOM","ZOOM E-CG MN BOLD 10P","ZOOM E-CG MN BOLD 10P","10",14
"085371500505","BLAC LABEL","BLAC LABEL E-CG SPECIAL BLEND","BLAC LABEL E-CG SPECIAL BLEND","2",14
"075166717247","VOODOO","VOODOO E-HOOKAH E-CG GOE","VOODOO E-HOOKAH E-CG GOE","1",12
"085488600303","SMOKER'S ONE CHOICE","SOC E-CG MN","SOC E-CG MN","1",12
"081323902000","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA","1",11
"065436704330","CIGALECTRIC","CGR E-CGC AST OL-V 2'S/BT/ECC","CGR E-CGC AST OL-V 2'S/BT/ECC","2",10
"070098780115","KING DISTRIBUTION","LAVA PLUS","LAVA PLUS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO COOL MINT BOX 1 COUNT","1",10
"073621122916","SQUARE","SQ E-CG MINTY MN VO","SQ E-CG MINTY MN VO","1",10
"085005158236","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLACKBERRY ICE MESH COIL BOX 1 COUNT","1",10
"002145802025","CLEAN CIG","CLN-CG E-CGA MN","CLN-CG E-CGA MN","5",9
"085436100400","NE WHERE","NE WHERE E-CG CT","NE WHERE E-CG CT","1",9
"085488600301","SMOKER'S ONE CHOICE","SOC E-CG MEDIUM","SOC E-CG MEDIUM","1",9
"001396461400","X HALE O2","X HALE O2 E-CG","X HALE O2 E-CG","1",8
"081342001433","KRAVE","KRAVE E-CG TOB","KRAVE E-CG TOB","1",8
"085005158239","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY WATERMELON BOX 1 COUNT","1",8
"505671640243","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY LEMONADE MESH COIL BOX 1 COUNT","1",8
"075602973446","NIIN","NIIN AIR","NIIN AIR SMOKING ALTERNATIVE PRODUCT GUAVA CHILL 1 COUNT","1",7
"073621190409","SQUARE","SQUARE E-CG VO","SQUARE E-CG VO","1",6
"075166721595","VOODOO","VOODOO E-HOOKAH E-CG MN","VOODOO E-HOOKAH E-CG MN","1",6
"081076702202","MILLENNIUM","MLNM E-CG LIQUID CRANBERRY","MLNM E-CG LIQUID CRANBERRY","1",6
"075166701019","VOODOO","V E-L E-CG LIQUID BB","V E-L E-CG LIQUID BB","1",5
"081342001434","KRAVE","KRAVE E-CG MN","KRAVE E-CG MN","1",5
"081717001001","NICSTICK","NICSTICK E-CGAC USA MIX","NICSTICK E-CGAC USA MIX","1",5
"085682400255","ECO-CIGS","ECO-CIGS E-CGCM MN MINI","ECO-CIGS E-CGCM MN MINI","3",5
"505671640280","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO ACAI BERRY STORM ICE MESH COIL BOX 1 COUNT","1",5
"075166721827","VOODOO","VOODOO E-CG LIQUID MN","VOODOO E-CG LIQUID MN","1",4
"081076702038","MILLENNIUM","MLNM E-CG LIQUID PICO","MLNM E-CG LIQUID PICO","1",4
"081076702206","MILLENNIUM","MLNM E-CG LIQUID ENERGY COW","MLNM E-CG LIQUID ENERGY COW","1",4
"081076702218","MILLENNIUM","MLNM E-CG LIQUID LEMON","MLNM E-CG LIQUID LEMON","1",4
"081323902284","SPACE JAM","SPC JM E-CG LIQUID PLSR","SPC JM E-CG LIQUID PLSR","1",4
"084727700005","REVIVE","REVIVE E-CG TOB","REVIVE E-CG TOB","1",4
