"category","upc","brand","brand_filled","brand_source","pfx_brand_conf","pfx","product_descr","num_cartridges_f","nic_mg_per_ml_f","total_units","cum_unit_share","years"
"e-liquid (impute mL)","084866602263","FINITI","FINITI","raw",1,"08486660","FIN E-CG","1",NA,95807,0.8257,"2013;2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","084920502159","VUSE","VUSE","raw",1,"08492050","VUSE ANTISMOKING PRODUCT 1 COUNT","1",NA,94801,0.8281,"2021;2022;2023"
"hardware/device (exclude)","081991301550","JUUL","JUUL","raw",1,"08199130","JUUL SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR DEVICE THE ALTERNATIVE FOR ADULT SMOK BOX 1 COUNT","1",NA,94477,0.8305,"2019;2020;2021;2022;2023"
"e-liquid (impute mL)","085570400719","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC E-CGC RFL","3",NA,94322,0.8329,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081536802173","NJOY","NJOY","raw",1,"08153680","ELCT CGRTT LIQUID POD","1",NA,93632,0.8352,"2019;2020;2021"
"e-liquid (impute mL)","088886130210",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,90804,0.8375,"2019;2020"
"e-liquid (impute mL)","081536802176","NJOY","NJOY","raw",1,"08153680","ELCT CGRTT LIQUID POD","1",NA,86190,0.8397,"2018;2019;2020"
"e-liquid (impute mL)","081068701686","NJOY","NJOY","raw",1,"08106870","NJOY E-CGCM GOLD TOB RFL","2",NA,83411,0.8418,"2014;2015;2016;2017;2018;2019;2020;2021;2023"
"e-liquid (impute mL)","072153501251","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT CHAMPIONS JUICE BOX 1 COUNT","1",NA,82784,0.8439,"2021;2022;2023"
"e-liquid (impute mL)","085962600207","FINITI","FINITI","raw",1,"08596260","FINITI E-CG","1",NA,80663,0.8459,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","088886130603","LEAP","LEAP","raw",1,"08888613","LEAP GO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MINT BOX 1 COUNT","1",NA,78149,0.8479,"2020;2021;2022;2023"
"e-liquid (impute mL)","085000134231","EPIC","EPIC","raw",1,"08500013","ELCT CGRTT LIQUID POD","1",NA,73158,0.8498,"2020;2021;2022;2023"
"e-liquid (impute mL)","081990502355",NA,"GLAS","prefix",1,"08199050","GLAS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SAPPHIRE BOX 2 COUNT","1",NA,72444,0.8516,"2021;2022;2023"
"e-liquid (impute mL)","085000134246","EPIC","EPIC","raw",1,"08500013","ELCT CGRTT LIQUID POD","1",NA,70327,0.8534,"2020;2021;2023"
"e-liquid (impute mL)","081505802251","LOGIC","LOGIC","raw",1,"08150580","ELCT CGRTT LIQUID CAPSULE","2",NA,70242,0.8551,"2018;2019;2020"
"e-liquid (impute mL)","088796900992","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,69893,0.8569,"2018;2019;2020"
"e-liquid (impute mL)","081991301516","JUUL","JUUL","raw",1,"08199130","ELCT CGRTT CARTRIDGE","2",NA,69345,0.8587,"2018;2019;2020"
"e-liquid (impute mL)","081342001259","KRAVE","KRAVE","raw",1,"08134200","KRAVE E-CG OGN","1",NA,68900,0.8604,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","088796901040","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","2",NA,68857,0.8621,"2019;2020"
"e-liquid (impute mL)","036586038376","21ST CENTURY SMOKE","21ST CENTURY SMOKE","raw",0.949,"03658603","21CS E-CGC","1",NA,66605,0.8638,"2016;2017;2018;2019;2020;2021;2022;2023"
"bare UPC (needs barcode lookup)","084920501547",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,65611,0.8655,"2018;2019;2020"
"e-liquid (impute mL)","088796901129","BLU","BLU","raw",1,"08879690","BLU SMOKING ALTERNATIVE PRODUCT TOBACCO 2 COUNT","2",NA,64800,0.8671,"2021;2022;2023"
"e-liquid (impute mL)","084866604600","FINITI","FINITI","raw",1,"08486660","FIN ECGVT BOLD TOB","1",NA,62144,0.8687,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081342001260","KRAVE","KRAVE","raw",1,"08134200","KRAVE E-CG MN","1",NA,62069,0.8703,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","084866604612","FINITI","FINITI","raw",1,"08486660","FIN E-CG CLMR","2",NA,59364,0.8718,"2015;2016;2017;2018;2019"
"hardware/device (exclude)","081990502834","GLAS","GLAS","raw",1,"08199050","GLAS SMOKING ALTERNATIVE PRODUCT STARTER KIT BOX 1 COUNT","1",NA,57523,0.8732,"2020;2021;2022;2023"
"e-liquid (impute mL)","085570400761","HAUS","HAUS","raw",0.768,"08557040","HAUS E-CG LIQUID DARK ICE MN","1",NA,56022,0.8746,"2016;2017;2018;2019;2020"
"hardware/device (exclude)","081990502867","GLAS","GLAS","raw",1,"08199050","GLAS SMOKING ALTERNATIVE PRODUCT STARTER KIT BOX 1 COUNT","1",NA,54829,0.876,"2020;2021;2022;2023"
"e-liquid (impute mL)","085570400760","HAUS","HAUS","raw",0.768,"08557040","HAUS E-CG LIQUID SCT","1",NA,54215,0.8774,"2016;2017;2018;2019;2020"
"bare UPC (needs barcode lookup)","084920501811",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,53828,0.8787,"2020"
"e-liquid (impute mL)","081821401475","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE EVPC CLASSIC","3",NA,52507,0.8801,"2016;2017;2018;2019"
"bare UPC (needs barcode lookup)","084920501808",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,52101,0.8814,"2020"
"e-liquid (impute mL)","084866604614","FINITI","FINITI","raw",1,"08486660","FIN ECGVT MN","2",NA,51520,0.8827,"2015;2016;2017;2018;2019"
"e-liquid (impute mL)","009710000286",NA,"MARKTEN","prefix",1,"00971000","ELCT CGRTT LIQUID POD","1",NA,51035,0.884,"2018;2019;2020"
"e-liquid (impute mL)","081821401474","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE E-CGC M-I","5",NA,50770,0.8853,"2016;2017;2018;2019"
"e-liquid (impute mL)","009710000285",NA,"MARKTEN","prefix",1,"00971000","ELCT CGRTT LIQUID POD","1",NA,50254,0.8865,"2018;2019"
"e-liquid (impute mL)","085570400864","HAUS","HAUS","raw",0.768,"08557040","HAUS E-CG LIQUID CLOUD PUNCH","1",NA,49607,0.8878,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","088886130600","LEAP","LEAP","raw",1,"08888613","ELCT CGRTT","1",NA,48279,0.889,"2019;2020;2021;2022;2023"
"e-liquid (impute mL)","085570400743","COSMIC FOG","COSMIC FOG","raw",0.768,"08557040","CSM FG ECGL KREWBERRY","1",NA,47624,0.8902,"2017;2018;2019;2020"
"e-liquid (impute mL)","036586037172","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VPLS E-CG LIQUID STBRY","1",NA,46385,0.8914,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085570400795","HAUS","HAUS","raw",0.768,"08557040","HAUS E-CG LIQUID SWEET VOO DEW","1",NA,45799,0.8925,"2015;2016;2017;2018;2019;2020"
"hardware/device (exclude)","081991301546","JUUL","JUUL","raw",1,"08199130","ELCT VAPOR DEVICE","1",NA,45013,0.8937,"2018;2019;2020;2021;2022;2023"
"e-liquid (impute mL)","085570400798","HAUS","HAUS","raw",0.768,"08557040","HAUS E-CG LIQUID MOON MILK","1",NA,44877,0.8948,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","084920501503","VUSE","VUSE","raw",1,"08492050","VUSE SOLO SMOKING ALTERNATIVE PRODUCT BOX 1 COUNT","1",NA,43533,0.8959,"2018;2019;2020;2021;2022;2023"
"e-liquid (impute mL)","085570400744","COSMIC FOG","COSMIC FOG","raw",0.768,"08557040","CSM FG ECGL NE-CR","1",NA,42966,0.897,"2017;2018;2019;2020"
"e-liquid (impute mL)","088886130200",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,41788,0.898,"2019;2020"
"e-liquid (impute mL)","081991301522","JUUL","JUUL","raw",1,"08199130","ELCT CGRTT CARTRIDGE","2",NA,41267,0.8991,"2018;2019;2020"
"bare UPC (needs barcode lookup)","084920501859",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,41129,0.9001,"2020"
"e-liquid (impute mL)","088886130220",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,40395,0.9011,"2019;2020"
"e-liquid (impute mL)","081990502850",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,40074,0.9022,"2020"
"bare UPC (needs barcode lookup)","084920501814",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,39717,0.9032,"2020"
"e-liquid (impute mL)","081991301520","JUUL","JUUL","raw",1,"08199130","ELCT CGRTT CARTRIDGE","2",NA,38931,0.9041,"2018;2019;2020"
"e-liquid (impute mL)","088796901136","BLU","BLU","raw",1,"08879690","BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GRAPHITE BLACK BOX 1 COUNT","1",NA,38828,0.9051,"2022;2023"
"e-liquid (impute mL)","085570400786","HAUS","HAUS","raw",0.768,"08557040","HAUS ESOT","1",NA,37518,0.9061,"2015;2016;2017;2018;2019;2020;2023"
"e-liquid (impute mL)","036586037200","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VAPIN PLUS ECTA","1",NA,36821,0.907,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081068701485","NJOY","NJOY","raw",1,"08106870","ELCT CGRTT CARTRIDGE","1",NA,36140,0.9079,"2020"
"bare UPC (needs barcode lookup)","085000134243",NA,"EPIC","prefix",1,"08500013",NA,NA,NA,35392,0.9088,"2020"
"e-liquid (impute mL)","085607300311","JAK","JAK","raw",1,"08560730","JAK E-CG REGULAR","1",NA,35043,0.9097,"2015;2016;2017;2018;2019;2020;2021;2022;2023"
"hardware/device (exclude)","088886130099","LEAP","LEAP","raw",1,"08888613","LEAP ANTISMOKING KIT ELECTRONIC CIGARETTE BOX 1 COUNT","1",NA,34926,0.9106,"2021;2022;2023"
"e-liquid (impute mL)","081505802263",NA,"LOGIC","prefix",1,"08150580","ELCT CGRTT LIQUID CAPSULE","1",NA,34479,0.9115,"2018;2019;2020"
"bare UPC (needs barcode lookup)","088886130100",NA,"LEAP","prefix",1,"08888613",NA,NA,NA,34139,0.9123,"2019;2020"
"e-liquid (impute mL)","084920501526","VUSE","VUSE","raw",1,"08492050","ELCT CGRTT VAPOR TANK","2",NA,33387,0.9132,"2018;2019;2020;2021"
"e-liquid (impute mL)","084920501522","VUSE","VUSE","raw",1,"08492050","ELCT CGRTT CARTRIDGE","3",NA,33315,0.914,"2019;2020"
"e-liquid (impute mL)","085570400792","HAUS","HAUS","raw",0.768,"08557040","HAUS ECSOC/E-CG TANK 2PK","2",NA,33298,0.9148,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081764101801","KRAVE","KRAVE","raw",0.999,"08176410","KRAVE 1001 E-CG RFL","3",NA,33080,0.9157,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081505802212","LOGIC","LOGIC","raw",1,"08150580","LOGIC LQD ECGT","1",NA,32811,0.9165,"2016;2017;2018;2019;2020;2021"
"bare UPC (needs barcode lookup)","036586037250",NA,"21ST CENTURY SMOKE","prefix",0.949,"03658603",NA,NA,NA,32692,0.9173,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","088886130216",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,31938,0.9181,"2019;2020"
"e-liquid (impute mL)","081505802265",NA,"LOGIC","prefix",1,"08150580","ELCT CGRTT LIQUID CAPSULE","1",NA,31322,0.9189,"2018;2019;2020"
"e-liquid (impute mL)","081068701690","NJOY","NJOY","raw",1,"08106870","NJOY E-CGCM VANILLA BEAN RFL","2",NA,29822,0.9197,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081764101577","KRAVE","KRAVE","raw",0.999,"08176410","KRAVE E-CG TOB KING","1",NA,29345,0.9204,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","084866604603","FINITI","FINITI","raw",1,"08486660","FIN ECGVT VANILLA","2",NA,29266,0.9212,"2015;2016;2017;2018;2019"
"bare UPC (needs barcode lookup)","009700000502",NA,"MARLBORO","prefix",1,"00970000",NA,NA,NA,29155,0.9219,"2020"
